Element,Sample Set,Min,Mean,Max,Sd
As,Plant,0,3.15,14.5,2.38
,Soil,2.1,6.15,10.4,2.61
Ca,Plant,354,14631,52847,11053
,Soil,1568,7847,45354,10169
Cr,Plant,0,5.34,24,4.77
,Soil,0,11.9,32.8,9.15
Cu,Plant,0,35,556,68
,Soil,181,1003,2560,757
Fe,Plant,0,239,1709,306
,Soil,12096,17457,32831,5646
Mn,Plant,0,24.2,208,31.6
,Soil,0,131,492,159
Ni,Plant,0,0.0492,3.3,0.391
,Soil,0,12.4,27.8,6.69
Re,Plant,0,2.74,99.9,10.3
,Soil,0,0.157,3.6,0.751
Se,Plant,0,2.13,55.2,4.89
,Soil,0,0.483,1.7,0.608
Zn,Plant,0,14.3,82.3,15.5
,Soil,14.4,39.2,86.1,20.8
