Cl,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Zn,As,Se,Cd,Re
580,48102,143,7.7,36.2,1037,0,37.5,0,5,1,0,0
306,22621,132,4.8,47.8,1709,0,8.1,11.8,2.5,0,0,0
527,47147,124,10.9,25.2,866,0,35.9,0,6.5,0.8,0,0
2576,37856,146,10.9,30.7,1320,0,47.1,0,6.2,2.6,0,4.6
4756,29095,90.3,10.6,0,668,0,26.1,0,4.4,2.7,20.1,6.4
753,6209,30.6,0,0,371,0,7.9,0,3.3,3.6,0,0
1655,43617,153,10,40.3,1133,0,44.3,0,4.5,1.8,0,3.4
448,31671,180,22.3,0,1333,0,46.4,0,12.8,0,0,0
0,48021,38.8,18.9,0,131,0,0,0,8.5,0,0,0
996,39959,125,15,0,773,0,81,0,8.6,0.9,14.6,0
561,17804,53,8.6,0,346,0,26.7,0,5.7,0,0,0
905,41605,179,14.5,25.8,1230,0,30.3,0,6.1,0,0,0
1377,14536,27,7.8,0,25.9,0,0,0,4.4,0,11.9,0
599,20914,33.5,9.3,0,18.1,0,0,0,5.3,0.6,0,0
3911,41176,58.3,19.9,0,147,0,0,0,10.6,0,0,0
3117,10500,88.3,6.7,0,186,0,66.4,9.2,3.3,0,0,0
3014,21771,80.2,8.7,0,205,0,64.6,21.8,5.1,0,0,0
5129,13742,51.1,7.4,0,131,0,58.1,8.6,4,0.7,0,0
6148,19691,38.8,7.2,0,47.5,0,0,4,4.2,0.5,8.7,0
3789,7432,69.5,27.1,0,68.9,0,18.8,0,10.4,0,0,0
2485,8537,136,10.1,0,142,0,145,0,6.4,0,0,0
1251,5040,86.1,6.3,10.5,192,0,132,4.9,2.1,0.5,0,0
1606,42089,59.3,7,20.3,273,0,17.5,82.1,3,0.6,0,0
497,2399,16.5,13.2,0,57.2,0,0,51.5,4.5,0.7,0,0
307,2064,20.7,8.7,0,89.5,0,0,0,2.6,0,0,0
481,2430,36.3,11.2,0,116,0,0,0,5.1,0,0,0
4011,7124,0,5.1,22.6,40.6,0,11,15.8,2.2,0.5,0,1.9
2300,12348,0,3.2,0,24.5,0,10.8,2.8,1.5,0.7,0,0
2286,7278,0,0,27.7,29,0,16.1,18.3,0.9,0.7,0,2.3
3264,8468,0,2.9,28,42.6,0,12.6,11.4,1,2.5,0,5.6
1733,9644,0,4.3,26.5,30.9,0,13.7,20.5,1,1.5,0,31
3747,10594,0,0,79.3,36.7,0,23.4,21.8,0.9,3.3,0,9.6
0,12652,0,0,0,40.1,0,3.6,7.7,0.4,0.9,0,0
0,7171,0,4.5,0,19.7,0,0,7.7,1.2,1.8,0,0
0,9171,0,2.9,43.1,31.9,0,0,5,2,0.6,0,0
0,14935,0,3.6,0,29.6,0,0,0,2.2,1.3,0,0
481,12102,39.1,7.1,0,289,0,6.5,0,2.8,0,0,0
0,16408,64.7,2.9,0,403,0,14.6,0,2.5,0,0,0
487,15263,59.6,7.7,0,336,0,9.5,0,2.2,0,0,0
3842,7153,0,3.8,0,51.5,0,0,3.4,4,1.1,0,0
2504,2778,0,7.8,0,16.6,0,0,0,3.5,1.2,0,0
4479,4502,0,9.6,0,48.6,0,0,6.9,4.3,0.4,0,0
3230,2960,0,12.2,0,25.2,0,0,0,3.8,1.3,0,0
606,1808,0,8.8,0,12.1,0,0,9.7,5.4,0,0,0
2388,4066,0,13.3,0,34.1,0,0,9.4,4.6,1.1,0,0
584,2151,22.1,7.1,20.9,26.8,0,0,13.6,2.7,0,0,0
796,2427,0,8.5,0,82.4,0,6.6,9.1,2.6,0,0,0
1515,4481,18.1,3.6,27.5,128,0,14.3,9.6,1.8,1.2,0,0
1506,3949,0,7.2,0,22.6,0,0,0,4.3,0.6,0,0
1342,3883,0,8.1,0,25.3,0,0,0,3.6,0.5,0,0
0,18577,0,0,45.4,89.5,3,13.7,13.4,0.5,0.9,0,0
0,20211,0,0,14.3,101,0,9.5,25.3,1.1,2.7,0,0
0,16495,0,0,0,103,0,11.2,9.3,1.1,1.7,11.4,2.9
0,20671,31.5,0,53.8,98.5,0,11.1,28.8,0.7,0.7,0,2.2
0,20571,0,0,81.2,110,0,21.2,14.7,0.5,0.5,0,0
0,16530,0,0,49.9,107,0,14.1,10.9,0.8,0.5,0,0
372,24784,112,4.5,20.1,597,0,175,28.9,3.1,4.9,0,0
0,26408,103,7.4,16.6,432,0,255,23.7,3.5,7.2,0,0
0,21373,107,0,41.2,544,0,226,30.4,1.9,3.8,0,0
621,21408,112,8.4,0,522,0,81.5,0,9.2,3.8,0,0
2776,5317,23.6,8.9,0,42.4,0,0,28.9,5.2,0.9,0,0
1620,4763,27.4,7.8,0,73.4,0,6.7,14.4,3.5,1.7,0,0
1088,4797,19.2,3.4,0,83.9,0,5.6,0,2.5,1.9,0,0
2804,4452,0,9.2,14.2,51.7,0,0,0,3.9,2.2,0,0
2401,3134,17.4,3.7,0,36.9,0,2.9,29.5,2.2,1.2,0,0
1729,2940,21.1,9.8,0,37.1,0,0,0,4.4,0.6,0,0
2807,4525,0,6,0,24.7,0,0,13.8,2.4,2,0,0
3015,5392,38,5,27.7,56.3,0,0,0,2.8,1.2,0,0
2299,4773,20.6,6.9,19.1,65.5,0,2.8,10.3,2.2,2,0,0
2159,4265,19.9,6.1,0,12.9,0,0,7.8,2.4,0.8,0,0
2153,3801,0,8,14.2,26,0,0,19.5,3.6,1,0,0
1948,6509,29.9,7.9,51.3,74,0,7.3,13.4,2.7,1.5,0,0
2208,2542,20.8,7.5,0,88.2,0,42.9,6.8,3.6,0.9,0,0
3204,3173,31.4,11.2,59.7,109,0,33.1,0,4.9,0,0,0
782,5655,24.4,4.8,21.4,114,0,24.8,6.3,2.2,4.1,0,0
997,12230,0,2.8,0,19.7,0,0,4,2.3,1.3,7,0
0,9127,0,2.9,0,18.3,0,0,14.3,1.4,0.7,0,0
0,13802,25.8,4.5,0,26.1,0,0,0,2.7,2,0,0
764,2583,64.8,4.6,0,417,0,0,0,3.7,0,0,0
945,3007,60.3,0,0,407,0,0,7.6,3.6,1.4,0,0
745,2655,86.4,0,21.8,667,0,28.8,10.6,1.2,0.8,0,1.8
361,2557,78.9,0,18.1,562,0,6.5,58.7,0.9,0,0,0
675,3254,81.4,4.4,0,521,0,0,0,4.3,0,0,0
1029,2637,28.2,3,0,129,0,0,0,2.9,0,0,0
1059,2213,69.7,0,0,432,0,9.6,7.8,2.1,0,0,0
771,6766,143,0,0,917,0,73.8,0,4.1,2.3,0,0
1502,2579,54.5,3.8,0,470,0,0,19.3,3.7,0,0,0
992,3114,42.4,4.1,0,374,0,0,0,6.1,0,0,0
1098,3813,114,7.5,0,1179,0,0,0,3.3,1.5,0,0
412,13226,22.7,0,51.5,167,0,20.1,31.7,1.4,0.5,0,2
7770,17723,29.9,0,52.1,231,0,11.2,21.7,1.6,0,9.1,9.2
0,11661,22,0,54.2,135,0,13.5,37.7,1.6,0.4,0,1.6
649,3319,31.3,4,15.3,97.3,0,32,4.1,1.4,1,8.3,0
562,2984,17,4.3,0,22.2,0,0,4.4,1.4,0.3,0,0
1349,3312,16.3,4.8,0,42.9,0,2.2,3.4,2,1.6,0,0
655,3006,0,4.1,0,36.6,0,2.6,7.5,2.9,0.4,0,0
1508,5005,28.3,8.3,0,14.9,0,0,9.3,4,0.5,0,0
1877,3332,0,5,0,47.4,0,0,23.3,3.4,0,0,0
1521,2994,16.4,5.3,0,37.4,0,0,7.8,2.3,0,0,0
969,2585,0,3.2,0,36.9,0,5,3.7,1.4,0.4,0,0
981,4428,23.8,2.7,0,23.6,0,3.8,2.4,1.3,0.9,0,0
558,3331,33.3,11.3,0,106,0,53,0,4.6,0.5,0,0
307,3855,46,10.8,0,81.6,0,57.8,0,4.1,0.6,0,0
811,2525,0,2.3,8.3,52.5,0,9.5,2.7,1.3,0.7,0,0
328,2370,22.1,6.2,0,35.8,0,0,0,2.7,0.6,0,0
1078,2157,0,3,14.5,16.7,0,0,2.7,1.4,0.4,0,0
1178,23936,120,0,20.4,1034,0,36.2,0,2.5,2.3,0,0
1233,9957,55.9,2.8,28.3,392,0,46.9,22.2,1.1,0.3,0,0
772,11832,33.6,0,24.4,264,0,22.3,9.9,1.8,1,0,0
859,11716,49.3,3.8,29.7,226,0,12.6,24.8,2.1,0.6,0,0
405,11582,48.7,0,18.6,329,0,9.6,34.1,1.5,0,0,0
589,8481,20.2,0,0,96.6,0,8.6,32.7,1,0.8,0,0
485,9108,28.4,2.4,17.6,123,0,9.8,37.5,1,0,0,0
809,10649,63.1,3,47,423,0,57.7,11.1,1.5,0.6,0,0
386,18365,0,8.1,0,65.1,0,4.4,0,5,1.6,0,2.5
0,14867,18.2,3.7,0,85.7,0,0,0,2.4,3.6,0,13.9
0,6661,0,5,0,45.1,0,0,0,2.8,1,0,0
2249,10642,25.1,2.9,38,142,0,38.1,40.2,0.9,0.5,0,5.1
833,11861,0,0,16.8,67.2,0,27.2,30.4,0.3,1.6,0,3.6
1584,10261,0,0,0,86.9,0,13.6,62.2,1.7,1.2,0,0
2284,8552,0,0,20.2,73.5,0,23.2,20.6,0.5,1.6,0,0
1494,10317,0,0,27.2,115,0,18.4,27.2,0.9,0.9,0,0
1310,9201,0,0,32.2,45.5,0,18.7,35.2,0.9,0.6,0,0
2851,8551,0,0,27.3,71.5,0,20.3,11.8,0,1.6,0,0
1565,8642,0,4,24,47.6,0,14.3,28.7,2,0.5,0,1.4
2615,17854,25.4,0,80.3,208,0,29.1,10.3,2.6,1.2,0,0
2258,9871,63.7,3.4,64,535,0,50.7,39.1,1.4,22.3,0,13.7
1373,10613,25.2,0,135,278,0,44.1,16.8,0,55.2,0,29.5
3581,9319,44,4.2,46,398,0,34.6,36,0.8,10.3,0,20.6
2883,9724,41.6,5.7,80.7,494,0,51.3,20.8,2.5,15.2,0,20
1435,12495,0,4.1,0,28.4,0,0,6.1,1,0,0,0
790,16536,24.7,3.6,0,92.9,0,3.7,14.8,1,0.4,0,0
815,12425,17.9,2.8,9.4,47.8,0,5.8,15.6,0.9,0.4,0,0
1441,16434,18.6,2.5,54.2,89,3.1,11.5,16.3,0.9,0.8,0,0
644,11077,20.8,2.4,43.5,74.9,0,12.6,7.4,1,0.7,0,0
771,14923,0,3.5,72.6,47,0,8.2,11.3,0.6,0.6,0,0
1050,33835,100,8.7,27.4,240,0,31.6,0,4.5,3.7,0,0
891,36044,42.4,3.6,78.8,260,0,44.8,29.2,1.8,4.9,0,0
1756,23307,0,4.7,68.7,94.8,0,0,4.1,3.5,3.7,0,2.6
2202,20128,0,4.1,50.6,95.7,0,0,0,3.8,6.9,0,0
1852,20874,0,0,208,95.2,0,0,21.8,2.2,4.6,0,3.5
837,37615,122,4.6,88.3,153,0,42.6,4.8,3.9,3.6,0,0
1934,23320,103,5.9,81.3,166,0,18.8,8.8,4.4,2.2,0,0
1220,14788,0,0,56.7,76.8,0,26.6,15.2,0.8,1.1,0,5.2
1064,15902,16.8,5.5,62.8,73.7,0,20.7,12.4,1,1,0,8.1
939,19757,21.6,0,26.3,129,0,29.6,17,0.9,1,0,1.6
1216,20701,34.9,3.8,51.5,225,0,57.8,10.7,1.5,3.1,0,6
948,14655,25.9,4.1,37,76.5,0,23.8,17.3,2.2,4.5,0,3.8
1276,15577,0,0,52.4,87.6,0,65.9,14.3,0.7,1.7,0,5.5
1008,14586,0,6.9,65,71.5,0,24.1,0,2.2,1.5,0,0
641,17182,18.7,4.6,34.8,66.3,0,31.6,11.3,1.3,2.9,0,0
0,16258,24.1,0,18.7,60.6,0,40,7.1,0.7,1.4,0,2
683,20776,20.2,6.6,57.8,45.1,0,82.1,8.1,2.2,4.9,0,11.7
1616,26240,27.7,3,62,93.8,0,77.3,32.3,1.1,3.6,0,17.1
891,21846,0,6.2,32.2,48,0,69.8,10,3,2.8,0,4
981,21231,26.1,6.2,82.6,89.2,0,128,42,2.3,1.8,0,3.8
1333,22543,19.8,7.9,29.7,67.6,0,103,0,2.7,4.6,0,6.8
1758,13333,26.6,5.7,32.8,54.8,0,48,9.7,2,5,0,0
576,16256,23.8,0,45.6,98.2,0,82.6,7.8,1.7,1.7,0,0
337,24382,48,6.8,51.6,82.7,0,147,7.7,3,2.8,0,3
4338,17656,44.6,5.6,0,269,0,15.2,30,3.8,0,0,0
6064,16083,26.5,8,0,138,0,0,18.7,4.1,0,0,0
1384,13594,77.8,14.5,0,713,0,0,0,9.1,0,0,0
419,22973,73,0,33.1,428,0,70.4,24.3,2.1,1.3,0,0
2620,52847,110,5.7,0,134,0,5.2,10.4,5,2.4,0,0
4943,52184,39.4,6.9,46.1,136,0,13,6.5,2.7,3.1,0,0
2889,49264,54.7,7.3,38.6,207,0,22.4,13,3.4,4.6,0,0
0,18683,0,8.3,0,32.7,0,5,17.7,3.2,6.8,0,0
0,14671,0,5.2,0,31.6,0,6.3,41.2,1.8,8.6,0,0
0,31067,0,4.1,12.7,43.8,0,4.4,49.9,2.6,8.2,0,0
929,17006,125,19.5,0,50.7,0,0,15.9,8.3,0,0,0
638,12694,88.7,11.1,0,297,0,24.9,17,5.8,0.6,0,0
418,5988,52.1,10.4,0,167,0,0,0,5.9,0,0,0
0,354,0,18.1,0,0,0,0,0,10.7,0,0,0
413,4852,56,11.8,0,145,0,10.4,9.7,6.4,0,0,0
858,4309,78.4,11.9,0,197,0,36.9,6.7,5.9,0,0,0
953,9770,71.4,3.5,12.4,155,0,37.5,44,2.3,0.4,0,0
513,7830,64.9,9.7,0,54.2,0,0,0,5.2,0,0,0
0,11631,101,0,0,86.3,0,7.2,8.9,2.8,0,0,0
1464,6274,61.4,4.6,0,94.6,0,38.9,9.5,3.7,0.5,0,0
1764,8346,114,9.4,0,337,0,137,0,7.9,0,15.5,0
0,1280,41.5,13.7,0,15.4,0,0,0,14.5,0,0,0
5037,9026,231,6.9,20,1463,0,403,22.7,3.7,2.8,0,0
4334,8954,206,8.1,0,1326,0,273,6.4,4.6,2.4,0,0
4104,8173,137,20.3,0,643,0,161,0,10.2,0,0,0
1306,8623,410,14.2,0,2641,0,450,0,11.6,0,0,0
2074,9548,286,13.2,0,1730,0,131,0,10.2,0,0,0
329,29628,24.9,0,92.4,99.1,0,57.6,18.4,1.7,10.9,0,77.8
0,29103,0,0,135,89,0,67.2,22.4,2,14.1,0,99.9
0,36291,0,0,128,89.9,0,62.3,12.8,1.9,2.3,0,34.6
1466,14048,37.5,11.8,0,205,0,0,0,7.5,0,0,0
392,12843,62.1,11.9,0,254,0,0,0,7.7,0,0,0
9904,23141,50.3,7.7,19.5,248,0,20.3,8.2,4.9,2.4,0,16.4
2680,14901,59.6,11.7,0,353,0,0,0,7.7,0,0,0
1679,19567,52.6,6.3,12.9,330,0,19.6,4.9,4.6,1.4,0,0
3357,24165,59.1,5.2,0,383,0,42.2,16.4,3.4,2.5,0,0
2387,22002,72,3.5,0,278,0,14.3,5.2,3.8,1.3,0,3.3
2288,27987,98.4,7,37.3,593,0,34.9,0,4.5,1.5,0,0
1123,8683,50.4,7.4,0,235,0,5.4,0,4.6,0,0,0
897,15381,55.6,5.9,0,266,0,12.4,9.7,5.2,0.5,0,0
1123,13882,43.3,0,0,279,0,17.1,3.9,3.8,0.4,0,0
2249,19326,31.7,10.2,0,202,0,6.4,0,6.3,0,0,0
1164,8524,93.1,16.8,0,310,0,0,0,7.6,0,0,0
794,11684,59.3,11.4,0,292,0,0,0,6.3,0,0,0
4956,8979,0,0,11,69.4,0,16.4,21.6,0.7,0.8,0,7.7
437,13028,67.4,10.3,0,407,0,22.3,0,3,0.8,0,0
3662,19760,50,5.8,14.2,311,0,46.5,28.4,2.2,1.1,0,0
1930,20872,43.6,4.4,32.7,251,0,35.6,40.8,1.5,0.9,0,0
2792,27101,0,0,18.5,83.9,0,59.7,19.8,2.4,19.7,0,1.6
4494,44255,0,0,0,78.8,0,72.8,27.4,2,6.2,0,0
2179,14164,82.2,24,0,492,0,10.4,0,9.8,2.4,0,0
2338,14210,44.9,3.9,23.5,202,0,56.5,35,1.4,1.2,0,0
2260,9379,33.2,5.6,29.2,83.3,0,42.9,38,3.5,0.9,0,0
1545,14295,34.2,4.6,26.7,165,0,23.3,82.3,1.7,1.4,0,1.4
1316,12626,39.6,0,76.6,155,0,67.9,59.7,1.6,0.4,0,0
2050,11870,42.7,9.5,0,158,0,80.7,24,4,0.8,0,0
1516,11623,0,0,13.8,57.6,0,10.5,48.7,1.1,0.7,0,1.3
1098,15873,39,2.9,36.2,263,0,76.2,3.2,2.1,1.9,0,0
1399,13058,59,3.5,29.5,201,0,133,31.8,1.3,1.3,0,0
1451,12342,92.9,7.2,28.2,85.7,0,34.9,23.6,2.9,1.2,0,0
896,15248,132,6.3,79.9,450,3.3,556,39.1,2.4,1.8,0,0
684,12857,160,3.4,95.9,276,0,384,37,2,1,0,0
1727,13720,80.4,0,0,81.8,0,31.6,8.7,2.5,1.2,0,0
1182,13108,0,0,0,43.3,0,0,12.4,3.4,1.1,0,0
874,4808,0,3.1,0,27.7,0,0,11.1,1.2,1.5,0,0
0,8447,0,2.6,0,49,0,0,0,1.7,2.1,0,0
